Area,Type,Key,English,Russian,German,Spanish,Portuguese,Japanese,Korean
Chiefs,,#MANAGERS_STARS,Stars,Звезды,Sterne,Estrellas,Estrelas,星,별
Chiefs,,#MANAGERS_LEVELCAP,Level cap,Макс. уровень,Levelgrenze,Límite de nivel,Limite de nível,レベル上限,레벨 제한
Chiefs,,#MANAGERS_PROMOTE,Promote,Повысить,Aufwerten,Promocionar,Promover,昇格,승급
Chiefs,,#MANAGERS_SMELTSPEED,Smelt Speed,Темп плавки,Schmelztempo,Vel. de fundición,Vel. Fundição,精錬速度,제련 속도
Chiefs,,#MANAGERS_CRAFTSPEED,Craft Speed,Темп крафта,Fertigungstempo,Vel. de creación,Vel. Criação,製造速度,제작 속도
Chiefs,,#MANAGERS_MINERATE,Mining Rate,Добыча,Abbaurate,Tasa Mineria,Taxa Miner.,採掘効率,채굴 속도
Chiefs,,#MANAGERS_MINECARGO,Mine Cargo,Груз,Abbaufracht,Carga de la mina,Carga,鉱石運搬,광석 운반량
Chiefs,,#MANAGERS_MASTER,Master,Мастер,Meister,Maestro,Mestre,チーフ,우두머리
Chiefs,,#MANAGERS_TRADER,Trader,Торговец,Händler,Comerciante,Negociante,交易商,무역업자
Chiefs,,#MANAGERS_COMMON,Common,Обычный,Üblich,Común,Comum,コモン,일반
Chiefs,,#MANAGERS_RARE,Epic,Эпик,Episch,Épico,Épico,エピック,에픽
Chiefs,,#MANAGERS_MASTER_LEGENDARY,Master | Epic,Мастер | Эпик,Meister | Episch,Maestro | Épico,Mestre | Épico,チーフ | エピック,우두머리 | 에픽
Chiefs,,#MANAGERS_TRADER_LEGENDARY,Trader | Epic,Торговец | Эпик,Händler | Episch,Comerciante | Épico,Negociante | Épico,交易商 | エピック,무역업자 | 에픽
Chiefs,,#MANAGERS_COMMON_ORES,Common Ores,Простая руда,Übliche Erze,Minerales comunes,Minério Comum,コモン鉱石,일반 광석
Chiefs,,#MANAGERS_RARE_ORES,Rare Ores,Редка руда,Seltene Erze,Minerales raros,Minério Raro,レア鉱石,희귀 광석
Chiefs,,#MANAGERS_PRECIOUS_ORES,Precious Ores,Драгоценная руда,Wertvolle Erze,Minerales valiosos,Minério Precioso,プレシャス鉱石,에픽 광석
Chiefs,,#MANAGERS_MYSTIC_ORES,Mystic Ores,Мистическая руда,Mystik-Erze,Minerales místicos,Minério Místico,ミスティック鉱石,신화 광석
Chiefs,,#MANAGERS_COMMON_BARS,Common Bars,Простые слитки,Übliche Barren,Lingotes comunes,Barras Comum,コモン鋳塊,일반 막대
Chiefs,,#MANAGERS_RARE_BARS,Rare Bars,Редкие слитки,Seltene Barren,Lingotes raros,Barra Rara,レア鋳塊,희귀 막대
Chiefs,,#MANAGERS_PRECIOUS_BARS,Precious Bars,Драгоценные слитки,Wertvolle Barren,Lingotes valiosos,Barra Preciosa,プレシャス鋳塊,에픽 막대
Chiefs,,#MANAGERS_MYSTIC_BARS,Mystic Bars,Мистические слитки,Mystik-Barren,Lingotes místicos,Barra Mística,ミスティック鋳塊,신화 막대
Chiefs,,#MANAGERS_WEAPONS,Weapons,Оружие,Waffen,Armas,Armas,武器,무기
Chiefs,,#MANAGERS_BOOTS,Boots,Обувь,Stiefel,Botas,Botas,ブーツ,신발
Chiefs,,#MANAGERS_ARMOR,Armor,Броня,Rüstung,Armadura,Armadura,鎧,갑옷
Chiefs,,#MANAGERS_SHIELDS,Shields,Щит,Schilde,Escudos,Escudos,盾,방패
Chiefs,,#MANAGERS_GLOVES,Gloves,Перчатки,Handschuhe,Guantes,Luvas,グローブ,장갑
Chiefs,,#MANAGERS_MINE_1,Mine 1,Шахта 1,Mine 1,Mina 1,Mina 1,採掘場 1,광산 1
Chiefs,,#MANAGERS_MINE_2,Mine 2,Шахта 2,Mine 2,Mina 2,Mina 2,採掘場 2,광산 2
Chiefs,,#MANAGERS_MINE_3,Mine 3,Шахта 3,Mine 3,Mina 3,Mina 3,採掘場 3,광산 3
Chiefs,,#MANAGERS_MINE_4,Mine 4,Шахта 4,Mine 4,Mina 4,Mina 4,採掘場 4,광산 4
Chiefs,,#MANAGERS_MINE_5,Mine 5,Шахта 5,Mine 5,Mina 5,Mina 5,採掘場 5,광산 5
Chiefs,,#MANAGERS_MINE_6,Mine 6,Шахта 6,Mine 6,Mina 6,Mina 6,採掘場 6,광산 6
Chiefs,,#MANAGERS_MINE_7,Mine 7,Шахта 7,Mine 7,Mina 7,Mina 7,採掘場 7,광산 7
Chiefs,,#MANAGERS_MINES_1,Mines 1-6,Шахты 1-6,Minen 1-6,Minas 1-6,Minas 1-6,採掘場 1-6,광산 1-6
Chiefs,,#MANAGERS_MINES_2,Mines 7-13,Шахты 7-13,Minen 7-13,Minas 7-13,Minas 7-13,採掘場 7-13,광산 7-13
Chiefs,,#MANAGERS_MINES_3,Mines 14-20,Шахты 14-20,Minen 14-20,Minas 14-20,Minas 14-20,採掘場 14-20,광산 14-20
Chiefs,,#MANAGERS_MINES_4,Mines 21-25,Шахты 21-25,Minen 21-25,Minas 21-25,Minas 21-25,採掘場 21-25,광산 21-25
Chiefs,,#MANAGERS_MINES_5,Mines 26-34,Шахты 26-34,Minen 26-34,Minas 26-34,Minas 26-34,採掘場 26-34,광산 26-34
Chiefs,,#MANAGERS_MINES_6,Mines 35-43,Шахты 35-43,Minen 35-43,Minas 35-43,Minas 35-43,採掘場 35-43,광산 35-43
Chiefs,,#MANAGERS_MINES_7,Mines 44-52,Шахты 44-52,Minen 44-52,Minas 44-52,Minas 44-52,採掘場 44-52,광산 44-52
Chiefs,,#MANAGERS_UNLOCKS_AT,Unlocks at,Доступен в,Verfügb. ab ,,Abre em,解放:,잠금 해제:
Chiefs,,#MANAGERS_CHAPTER,Chapter {0},Глава {0},Kapitel {0},Capítulo {0},Ato {0},チャプター{0},챕터 {0}
Chiefs,,#MANAGERS_NAME0,Skabgrim,Скабгрим,Skabgrim,Skabgrim,Skabgrim,スカブグリム,스카브그림
Chiefs,,#MANAGERS_NAME1,Mekuz,Мекуз,Mekuz,Mekuz,Mekuz,メクズ,메쿠즈
Chiefs,,#MANAGERS_NAME2,Waagob,Ваагоб,Waagob,Waagob,Waagob,ワーゴブ,와고브
Chiefs,,#MANAGERS_NAME3,Nesterin,Нестерин,Nesterin,Nesterin,Nesterin,ネステリン,네스터린
Chiefs,,#MANAGERS_NAME4,Gael,Гаель,Gael,Gael,Gael,ガエル,가엘
Chiefs,,#MANAGERS_NAME5,Rodagog,Родагог,Rodagog,Rodagog,Rodagog,ロダゴグ,로다고그
Chiefs,,#MANAGERS_NAME6,Jughog,Джухог,Jughog,Jughog,Jughog,ジューホグ,저그호그
Chiefs,,#MANAGERS_NAME7,Sharn,Шарн,Sharn,Sharn,Sharn,シャーン,샨
Chiefs,,#MANAGERS_NAME8,Kurdan,Курдан,Kurdan,Kurdan,Kurdan,クルダン,쿠르단
Chiefs,,#MANAGERS_NAME9,Elaran,Эларан,Elaran,Elaran,Elaran,エララン,에라란
Chiefs,,#MANAGERS_NAME10,Dalkaar,Далкаар,Dalkaar,Dalkaar,Dalkaar,ダルカー,달카르
Chiefs,,#MANAGERS_NAME11,Grumgor,Грумгор,Grumgor,Grumgor,Grumgor,グラムゴー,그룸고르
Chiefs,,#MANAGERS_NAME12,Wazgut,Вазгут,Wazgut,Wazgut,Wazgut,ワズット,와즈구트
Chiefs,,#MANAGERS_NAME13,Varbu,Варбу,Varbu,Varbu,Varbu,ヴァルブ,바르부
Chiefs,,#MANAGERS_NAME14,Urgran,Ургран,Urgran,Urgran,Urgran,ウルグラン,우르그란
Chiefs,,#MANAGERS_NAME15,Morgut,Моргут,Morgut,Morgut,Morgut,モーガット,모르구트
Chiefs,,#MANAGERS_NAME16,Nazzod,Наззод,Nazzod,Nazzod,Nazzod,ナゾッド,나조드
Chiefs,,#MANAGERS_NAME17,Gollik,Голлик,Gollik,Gollik,Gollik,ゴリーク,골리크
Chiefs,,#MANAGERS_NAME18,Matuk,Матук,Matuk,Matuk,Matuk,マツク,마투크
Chiefs,,#MANAGERS_NAME19,Chakub,Шакуб,Chakub,Chakub,Chakub,チャクブ,차쿠브
Chiefs,,#MANAGERS_NAME20,Snak,Снак,Snak,Snak,Snak,スナク,스나크
Chiefs,,#MANAGERS_NAME21,Rabiz,Рабиз,Rabiz,Rabiz,Rabiz,ラビズ,라비즈
Chiefs,,#MANAGERS_NAME22,Gobnob,Гобноб,Gobnob,Gobnob,Gobnob,ゴブノブ,고브노브
Chiefs,,#MANAGERS_NAME23,Yambul,Ямбул,Yambul,Yambul,Yambul,ヤンバル,얌불
Chiefs,,#MANAGERS_NAME24,Hibub,Хибуб,Hibub,Hibub,Hibub,ヒブブ,히버브
Chiefs,,#MANAGERS_NAME25,Aesbad,Эсбад,Aesbad,Aesbad,Aesbad,アスバッド,애스바드
Chiefs,,#MANAGERS_NAME26,Snaglak,Снаглак,Snaglak,Snaglak,Snaglak,スナラク,스나글락
Chiefs,,#MANAGERS_NAME27,Usskar,Ускар,Usskar,Usskar,Usskar,ウスカー,우스카르
Chiefs,,#MANAGERS_NAME28,Rok,Рок,Rok,Rok,Rok,ロク,로크
Chiefs,,#MANAGERS_NAME29,Mag,Маг,Mag,Mag,Mag,マグ,마그
Chiefs,,#MANAGERS_NAME30,Mursha,Мурша,Mursha,Mursha,Mursha,ムルシャ,머르샤
Chiefs,,#MANAGERS_NAME31,Glasha,Глаша,Glasha,Glasha,Glasha,グラシャ,그라샤
Chiefs,,#MANAGERS_NAME32,Urzul,Урзул,Urzul,Urzul,Urzul,ウズル,우르줄
Chiefs,,#MANAGERS_NAME33,Lortar,Лортар,Lortar,Lortar,Lortar,ロルタル,로르탈
Chiefs,,#MANAGERS_NAME34,Jakhruk,Джахрук,Jakhruk,Jakhruk,Jakhruk,ジャクルク,자크룩
Chiefs,,#MANAGERS_NAME35,Heddrak,Хедрак,Heddrak,Heddrak,Heddrak,ヘドラク,헤드락
Chiefs,,#MANAGERS_NICK8,The Crooked,Кривой,Der Krumme,El Retorcido,O Torto,ペテン,불량배
Chiefs,,#MANAGERS_NICK9,The Wild,Дикий,Der Wilde,El Salvaje,O Louco,ワイルド,야만인
Chiefs,,#MANAGERS_NICK10,The Talker,Болтун,Der Redner,El Hablador,O Matraca,おしゃべり,수다쟁이
Chiefs,,#MANAGERS_NICK11,The Big One,Большой,Der Große,El Grandullón,O Grande,デカブツ,거한
Chiefs,,#MANAGERS_NICK12,The Sly,Хитрый,Der Schlaue,El Taimado,O Magro,コウカツ,사기꾼
Chiefs,,#MANAGERS_NICK15,Brass Hammer,Медный Молот,Messinghammer,Martillo cobrizo,Martelo de Latão,真ちゅう,황동 망치
Chiefs,,#MANAGERS_NICK16,Iron Squasher,Давитель,Eisenquetscher,Aplastahierros,Esmaga-ferro,鉄つぶし,강철 진압자
Chiefs,,#MANAGERS_NICK22,The Spark,Искра,Der Funke,El Chispas,A Faísca,キラリ,섬광
Chiefs,,#MANAGERS_NICK23,The Outlandish,Диковинный,Der Fremde,El Extravagante,A Estranheza,かわりや,외부자
Chiefs,,#MANAGERS_NICK24,The Enormous,Огромный,Der Riese,El Enorme,O Enorme,ジャイアント,무법자
Chiefs,,#MANAGERS_NICK25,The Colossal,Гигант,Der Koloss,El Colosal,O Colossal,キョダイ,거대 괴물
Chiefs,,#MANAGERS_NICK26,The Fierce,Жестокий,Die Böse,La Fiera,O Forte,モウレツ,폭한
Chiefs,,#MANAGERS_NICK27,The Digger,Копатель,Der Gräber,El Cavador,O Cavador,アナホリ,소매치기
Chiefs,,#MANAGERS_NICK28,The Ok Dok,Ок Док,Der Ok Dok,El Ok Dok,Ok Dok,おきらく,오크 도크
,,,,,,,,,
Academy,Button,#RESET,Reset,Сброс,Zurücks.,Reiniciar,Reiniciar,リセット,초기화
Academy,,#RESET_ACADEMY,Academy,Академия,Akademie,Academia,Academia,アカデミー,아카데미
Academy,,#RESET_DESC1,Reset your camp and get EXP based on your spending and stock,Получите EXP за лагерь учитывая все вложенные в него средства и все ваши ресурсы,Setze dein Lager zurück und erhalte EXP für Ausgaben und Lagerbestand,Reinicia tu campamento y obtén EXP en función de tus gastos y existencias,Reinicia seu campo e obtém EXP com base nos gastos e estoque,野営地をリセットすると、資材の消費/備蓄量に基づいたEXPを獲得できる,주둔지를 초기화하고 소모한 재화 및 재고에 따라 경험치를 획득하세요
Academy,,#RESET_DESC2,Invested in this camp,Потрачено на лагерь,In dieses Lager investiert,Este campamento,Investido neste campo,この野営地での消費量,이 주둔지에 투자함
Academy,,#RESET_DESC3,"Stock: ores, bars, items","Руда, cлитки, предметы","Bestand: Erze, Barren, Items","Mineral, lingotes, objetos","Estoque: minérios, barras e itens",備蓄: 鉱石、鋳塊、アイテム,"재고: 광석, 막대, 아이템"
Academy,,#RESET_EXP_EARNED,EXP earned,EXP оценка,EXP erhalten,EXP obtenida,EXP ganha,獲得EXP,획득한 경험치
Academy,,#RESET_GET_X2_EXP,Get <color=white>x2</color> EXP,<color=white>x2</color> EXP,Erhalte <color=white>x2</color> EXP,Obtén <color=white>x2</color> EXP,EXP <color=white>x2</color>,<color=white>2倍</color>のEXPを獲得,경험치를 <color=white>2배</color>로 획득하세요
Academy,,#RESET_DESC4,Reach 10m in asset value to unlock reset and reward.,Сброс лагеря за EXP откроется от 10м стоимости,Schalte mit einem Vermögen von 10 Mio. „Zurücksetzen“ und Belohnung frei.,Alcanza los 10 mill. en recursos para desbloquear el reinicio y la recompensa.,Consiga 10M em ativos para abrir o reinício e prêmio,資産価値1000万に到達すると、リセットと報酬が解放される,"초기화 및 보상을 잠금 해제하려면 가치가 10,000,000에 도달해야 합니다."
Academy,,#RESET_DESC5,Next chapter available!\nMove to the next chapter to claim your academy reward.,Доступна новая глава!\nНачните новую главу чтобы получить EXP за все средства вложенные в лагерь и все ваши ресурсы,Nächstes Kap. verfügbar!\nHol dir im nächsten Kapitel deine Akademiebelohnung.,¡Nuevo capítulo disponible!\nPasa al siguiente capítulo para reclamar la recompensa de la academia.,Próximo ato disponível!\nVá para o próximo ato para obter seu prêmio da Academia.,次のチャプターがプレイ可能！\n次のチャプターに移行してアカデミー報酬をもらおう,다음 챕터를 이용할 수 있습니다!\n다음 챕터로 이동하여 아카데미 보상을 획득하세요.
Academy,,#RESET_HELP,"You will keep chapter, chapter progress, EXP, runes, chiefs and gems","У вас останется прогресс в кампании, гемы, EXP, руны и герои","Kapitel, Kapitelfortschritt, EXP, Runen, Anführer und Juwelen bleiben erhalten","Conservarás el capítulo, el progreso del capítulo, la EXP, las runas, los líderes y las gemas","Você mantém o ato, progresso do ato, EXP, runas, chefes e gemas.",チャプター、チャプター進行度、EXP、ルーン、チーフとジェムは保持される,"챕터, 챕터 진행도, 경험치, 룬, 부족장, 보석은 유지됩니다"
Academy,,#RESET_TOTAL_VALUE,Total value,Полная стоимость,Gesamt,Valor total,Valor total,総合価値,총 가치
Academy,,#RESET_CONFIRM,Confirm,Подтвердите,Bestätigen,Confirmar,Confirmar,確定,확인
Academy,,#RESET_CONFIRM_DESC1,"<color=#C10000>You'll sell</color> Camp, Mines, Resources, Coins","<color=#C10000>Сброс</color> лагеря, шахт, ресурсов, монет","<color=#C10000>Du verkaufst</color> Lager, Minen, Ressourcen, Münzen","<color=#C10000>Venderás</color> el campamento, las minas, los recursos y las monedas","<color=#C10000>Você vende</color> Campo, Minas, Recursos, Moedas",野営地、採掘場、資源、コインは<color=#C10000>売却</color>される,"캠프, 광산, 자원, 코인을 <color=#C10000>판매합니다</color>"
Academy,,#RESET_CONFIRM_DESC2,"<color=#C10000>You'll keep</color> Gems, Chiefs, Runes, Exp, Chapter, Chapter progress","<color=#C10000>Останутся</color> герои, EXP, гемы, руны, прогресс в кампании","<color=#C10000>Du behältst</color> Juwelen, Anführer, Runen, EXP, Kapitel, Kapitelfortschritt","<color=#C10000>Conservarás</color> las gemas, los líderes, las runas, la EXP, el capítulo y el progreso del capítulo","<color=#C10000>Você mantém</color> Gemas, Chefes, Runas, Exp, Ato, progresso do Ato.",ジェムやチーフ、ルーン、EXP、チャプター、チャプター進行度は<color=#C10000>保持</color>される,"보석, 부족장, 룬, 경험치, 챔터, 챕터 진행도는 <color=#C10000>유지됩니다</color>"
Academy,,#RESET_CONFIRM_DESC3,You'll get,Получите,Du erhältst,Obtendrás,Você obtém,獲得:,다음을 획득:
Academy,,#RESET_CONFIRM_DESC4,x2 EXP,x2 EXP,x2 EXP,x2 EXP,x2 EXP,EXP2倍,경험치 두 배 획득
,,,,,,,,,
Academy,Button,#DOUBLE_EXP_DOUBLE_EXP,Double EXP,Удвоить EXP,Doppelte EXP,Doble EXP,EXP x2,EXP2倍,경험치 두 배 획득
Academy,,#DOUBLE_EXP_DESC1,You have earned the following EXP amount,Стоимость лагеря и ресурсов дает вам EXP,Du hast folgende EXP erhalten:,Has obtenido la siguiente cantidad de EXP,Você ganhou a seguinte quantidade de EXP,以下のEXP量を獲得した,다음 경험치를 획득합니다
Academy,Button,#DOUBLE_EXP_CLAIM,Claim,Забрать,Abholen,Reclamar,Obter,取得,수령
Academy,,#DOUBLE_EXP_DESC2,Double the amount of EXP earned,Удвойте количество полученной EXP,Verdopple deine erhaltenen EXP,Dobla la cantidad de EXP obtenida,Dobra a EXP ganha,獲得EXP量が2倍,경험치를 두 배로 획득합니다
Academy,,#DOUBLE_EXP_HAVE,You have,У вас есть,Du hast,Tienes,Você tem,所有:,보유:
Academy,Button,#DOUBLE_EXP_SHOP,Shop,Магазин,Shop,Tienda,Loja,ショップ,상점
,,,,,,,,,
Runes,Button,#PRESTIGE,Prestige,Престиж,Prestige,Prestigio,Prestígio,転生,환생
Runes,,#PRESTIGE_HELP,Reset your build tree to earn EXP and unlock Runes,Начните дерево строительства заново и получите EXP для покупки рун,"Setze deinen Bau-Baum zurück, um EXP zu verdienen und Runen freizuschalten",Reinicia tu árbol de construcción para ganar EXP y desbloquear Runas,Reinicie sua árvore de construção para ganhar EXP e desbloquear Runas,建築ツリーをリセットして、EXPを獲得しルーンを解放しよう,건설 트리를 초기화하여 EXP를 얻고 룬을 해제하세요
Runes,,#RUNES_LOCKED,Locked runes,Заблокированные руны,Gesperrte Runen,Runas bloqueadas,Runas bloqueadas,ロックされたルーン,잠긴 룬
Runes,,#RUNES,Runes,Руны,Runen,Runas,Runas,ルーン,룬
Runes,,#RUNES_TO_BE_DISCOVERED,To be discovered,Пока не приобретен,Noch nicht entdeckt,Por descubrir,A descobrir,未発見…,아직 발견되지 않음
Runes,,#RUNES_HELP,Runes boost stats permanently,Руны усиливают племя навсегда,Runen boosten Werte dauerhaft,Las runas mejoran las estadísticas permanentemente,Runas dão melhorias fixas de atributos,ルーンは各種要素をずっとブースト,룬은 능력치를 영구적으로 증가시킵니다
Runes,Button,#RUNES_BUY,Buy,Купить,Kaufen,Comprar,Comprar,購入,구매
Runes,,#RUNES_COLLECTION,Runes collection,Коллекция рун,Runensammlung,Colección de runas,Coleção de Runas,ルーンコレクション,룬 컬렉션
Runes,,#RUNES_LEVEL,lvl\n{0},ур\n{0},Lvl.\n{0},Nv.\n{0},nv.\n{0},Lv\n{0},레벨\n{0}
Runes,,#RUNES_LEVEL_SINGLELINE,lvl {0},ур {0},Lvl. {0},Nv. {0},nv. {0},Lv {0},레벨 {0}
Runes,,#RUNES_SHOP,Rune shop,Магазин рун,Runenshop,Tienda de runas,Loja Runas,ルーンショップ,룬 상점
Runes,,#RUNES_SHOP_HELP,Earn EXP by unlocking new chapters of your journey or resetting your camp,Получайте EXP проходя главы путешествия или сбрасывая ваш лагерь,"Erhalte EXP, indem du neue Kapitel freischaltest oder dein Lager zurücksetzt.",Gana EXP al desbloquear nuevos capítulos de tu viaje o al reiniciar tu campamento.,Ganhe EXP abrindo novos atos na jornada ou reiniciando o campo.,新たなチャプターを解放または野営地をリセットしてEXPを獲得しよう,여행의 새로운 챕터를 잠금 해제하거나 주둔지를 재구축하여 경험치를 획득하세요
,,,,,,,,,
Runes,,#RUNES_STRENGTH,Rune of Strength,Руна Силы,Kraftrune,Runa de fuerza,Runa da Força,力のルーン,힘의 룬
Runes,,#RUNES_STRENGTH_DESC1,The spirit of the Great Plains inhabit this rune and invigorate the world around.,Дух Великих Равнин населяет эту руну и оживляет мир вокруг.,Der Geist der Großen Ebenen bewohnt diese Rune.,El espíritu de las Grandes Llanuras habita esta runa y fortalece su entorno.,O espírito da Grande Planície habita esta runa e revigora o mundo ao redor.,大平原の精霊が宿るルーン。周辺世界を活性化させる。,대평원의 정신이 이 룬에 깃들어 주변 세계에 활력을 불어넣어 줍니다.
Runes,,#RUNES_STRENGTH_DESC2,All mines mining rate,Добыча шахт,Abbaurate aller Minen,Tasa mineria de todas las minas,Taxa miner. das minas,全採掘場の採掘効率,모든 광산 채굴 속도
Runes,,#RUNES_FOCUS,Rune of Focus,Руна Фокуса,Fokusrune,Runa de concentración,Runa do Foco,集中のルーン,집중의 룬
Runes,,#RUNES_FOCUS_DESC1,Borrowed from Elven ruins of Caul-Tor. Somebody is probably looking for it.,"Подобрали в эльфийских руинах Кол-Тора. Кто-то, возможно, его ищет.",Aus den Elfenruinen von Caul-Tor entlehnt. Vermutlich sucht jemand danach.,Tomada de las ruinas élficas de Caul-Tor. Seguro que alguien la está buscando.,Emprestada das ruínas élficas de Caul-Tor. Alguém deve estar procurando.,カウル・トルのエルフ遺跡から拝借したもの。誰かの捜し物かもしれない。,콜토르의 엘프 유적지에서 빌려왔습니다. 누군가는 이걸 찾고 있을 거예요.
Runes,,#RUNES_FOCUS_DESC2,Smelting speed,Скорость плавки,Schmelztempo,Vel. de fundición,Vel. fundição,精錬速度,제련 속도
Runes,,#RUNES_VALOR,Rune of Valor,Руна отваги,Rune des Mutes,Runa de Valentia,Runa da Valentia,武勇のルーン,용맹의 룬
Runes,,#RUNES_VALOR_DESC1,"Legends say the First Chieftain carried it into battle, its glow driving warriors onward.",Легенды гласят: Первый Вождь нёс её в бой - сияние вело воинов вперёд.,"Legenden sagen, der Erste Häuptling trug sie in die Schlacht; ihr Leuchten trieb Krieger voran.",Las leyendas dicen que el Primer Caudillo la llevó a la batalla; su brillo impulsaba a los guerreros.,Dizem as lendas que o Primeiro Chefe a levou à batalha; seu brilho impelia os guerreiros.,伝承では、初代族長が戦に携え、その輝きが戦士たちを駆り立てた。,"전설에 따르면 초대 족장이 전장에 지녔고, 그 빛이 전사들을 이끌었다."
Runes,,#RUNES_VALOR_DESC2,Valor generation rate,Скорость генерации Отваги,Mut-Generierungsrate,Tasa de generación de Valentía,Taxa de geração de Valentia,武勇の生成速度,용맹 생성 속도
Runes,,#RUNES_CONSTRUCTION,Rune of Construction,Руна Строителя,Baurune,Runa de construcción,Runa da Construção,建造のルーン,건축의 룬
Runes,,#RUNES_CONSTRUCTION_DESC1,The head of the Grand Architect Staff. Wonder if one could recreate it?,Найден в черепе Великого Архитекта. Необъяснимо.,Das obere Ende des Großen Architektenstabs. Ob man ihn nachbauen kann?,La punta del bastón del Gran Arquitecto. Me pregunto si se podría recrear.,A ponta do Cajado do Grande Arquiteto. Será que alguém pode recriá-lo?,偉大な建築士が持っていた職杖の先端部。現代の技術では再現不可能な代物？,위대한 건축가 지팡이의 주요 부품입니다. 그 지팡이를 다시 만들 수 있을까요?
Runes,,#RUNES_CONSTRUCTION_DESC2,Сost of mine upgrades,Цена апгрейда шахт,Minenaufwertungskosten,Coste de mejora de las minas,Custo melhorias mina,採掘場アップグレードコスト,광산 업그레이드 비용
Runes,,#RUNES_ENDURANCE,Rune of Endurance,Руна Выносливости,Ausdauerrune,Runa de resistencia,Runa Resistência,忍耐のルーン,내구의 룬
Runes,,#RUNES_ENDURANCE_DESC1,Kul-Al got what it takes to snatch it from the Storm Pit and return alive.,Кул-Ал рисковал жизнью чтобы украсть его из Штормовой Ямы.,Nur Kul-Al kann sie aus der Sturmgrube holen und lebend zurückzukehren.,Kul-Al le echó ganas para sacarla del Pozo de las Tormentas y volver con vida.,Kul-Al é capaz de pegar do Poço Tempestade e voltar com vida.,クル・アイはストームピットからこれを奪い生還するという偉業を成し遂げた。,쿨알은 폭풍의 구덩이에서 이 룬을 강탈하고도 살아 돌아올 수 있었습니다.
Runes,,#RUNES_ENDURANCE_DESC2,Load capacity,Грузоподьемность рабочих,Tragfähigkeit,Capacidad de carga,Capacidade de carga,積載量,적재 용량
Runes,,#RUNES_CREATION,Rune of Creation,Руна Создателя,Erschaffungsrune,Runa de la creación,Runa da Criação,創造のルーン,창조의 룬
Runes,,#RUNES_CREATION_DESC1,Don't leave unattended for extensive periods of time.,Не оставляйте без присмотра на долгое время.,Lass sie nicht für längere Zeit unbeaufsichtigt.,No la dejes desatendida durante largos periodos de tiempo.,Não ignore por muito tempo.,長い期間、ただそのまま放置してはならない。,너무 오래 자리를 비워두지 마세요.
Runes,,#RUNES_CREATION_DESC2,Crafting speed,Скорость крафта,Fertigungstempo,Vel. de creación,Vel. criação,製造速度,제작 속도
Runes,,#RUNES_INTELLIGENCE,Rune of Intelligence,Руна Разума,Intelligenzrune,Runa de inteligencia,Runa da Inteligência,知恵のルーン,지능의 룬
Runes,,#RUNES_INTELLIGENCE_DESC1,"Hide it well, only use when necessary.","Хорошо спрячьте, используйте только при необходимости.",Gut verstecken und nur bei Bedarf verwenden.,Escóndela bien y úsala solo cuando sea necesario.,"Esconda bem, só use quando precisar.",普段はどこかにしまっておき、必要な時だけ使え。,잘 숨겨두고 필요할 때만 사용하세요.
Runes,,#RUNES_INTELLIGENCE_DESC2,Camp research prices,Цена исследований,Lagerforschungspreise,Precios de investigación,Preço pesquisa campo,野営地の研究価格,주둔지 연구 가격
Runes,,#RUNES_RESERVE,Rune of Reserve,Руна Запаса,Rune des Vorrats,Runa de Reserva,Runa da Reserva,備蓄のルーン,비축의 룬
Runes,,#RUNES_RESERVE_DESC1,"A fragment of the Vault Eternal, still hungry.",Осколок Бездонного Хранилища. Вечно голодный.,Ein Splitter des Ewigen Horts. Noch immer hungrig.,Un fragmento de la Bóveda Eterna. Aún hambriento.,Um fragmento da Arca Eterna. Ainda faminto.,永遠の宝庫の欠片。飢え続けている。,영원의 보관소의 파편. 여전히 굶주려 있다.
Runes,,#RUNES_RESERVE_DESC2,Valor generator capacity,Вместимость генератора Отваги,Kapazität des Mut-Generators,Capacidad del generador de Valentía,Capacidade do gerador de Valentia,武勇生成装置の上限,용맹 생성기의 한도
Runes,,#RUNES_WISDOM,Rune of Wisdom,Руна Мудрости,Weisheitsrune,Runa de la sabiduría,Runa Sabedoria,見識のルーン,지혜의 룬
Runes,,#RUNES_WISDOM_DESC1,Was the rumored prime cause of the Troll Head Bar Brawl.,По слухам был основной причиной драки в баре 'Голова тролля'.,War angeblich der Auslöser der Kneipenschlägerei der Trolle.,Se rumorea que fue la causa principal de la gresca en el bar Cabeza de trol.,Dizem que foi a causa da briga no Bar Cabeça de Troll.,親方トロール酒場殴り合い事件の主な原因ともっぱらの噂だ。,트롤 박치기 난투의 주요 원인이라는 소문이 돌았어요.
Runes,,#RUNES_WISDOM_DESC2,EXP gain,Получение EXP,EXP-Erhalt,Obtención de EXP,Ganho de EXP,EXP獲得,경험치 획득
Runes,,#RUNES_PATIENCE,Rune of Patience,Руна Терпения,Geduldsrune,Runa de la paciencia,Runa Paciência,辛抱のルーン,인내의 룬
Runes,,#RUNES_PATIENCE_DESC1,Older than time itself.,Старше самого времени.,Älter als die Zeit.,Más antigua que el tiempo.,Mais velha que o tempo.,時そのものよりも旧きもの。,시간이 생기기도 전부터 존재했습니다.
Runes,,#RUNES_PATIENCE_DESC2,Max idle time,Максимум айдл времени,Maximale Inaktivitätszeit,Máximo tiempo de inactividad,Tempo máximo inativo,最大放置時間,최대 방치 시간
